# ----------------------------------------,,,,,,,,,
Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Organic Social,2024040717,123,159,78,35.138364779874200,0.6341463414634150,4.440251572327040,0.49056603773584900,706
Organic Social,2024041200,122,178,79,26.185393258427000,0.6475409836065570,4.185393258426970,0.4438202247191010,745
Organic Social,2024041323,122,136,66,41.02205882352940,0.5409836065573770,4.8161764705882400,0.4852941176470590,655
Organic Social,2024042622,122,144,79,27.32638888888890,0.6475409836065570,4.659722222222220,0.5486111111111110,671
Organic Social,2024041211,121,150,90,53.08,0.743801652892562,4.6466666666666700,0.6,697
Organic Social,2024041517,121,158,73,48.48101265822790,0.6033057851239670,4.246835443037980,0.4620253164556960,671
Organic Social,2024041221,120,159,80,47.84905660377360,0.6666666666666670,4.647798742138370,0.5031446540880500,739
Organic Social,2024050300,120,166,81,39.59036144578310,0.675,4.662650602409640,0.4879518072289160,774
Organic Social,2024041400,119,182,76,28.005494505494500,0.6386554621848740,4.021978021978020,0.4175824175824180,732
Organic Social,2024042617,119,140,81,47.42142857142860,0.680672268907563,5.678571428571430,0.5785714285714290,795
Organic Social,2024050120,119,145,88,41.9448275862069,0.7394957983193280,5,0.6068965517241380,725
Organic Social,2024042317,118,145,75,59.2,0.635593220338983,4.862068965517240,0.5172413793103450,705
Organic Social,2024050215,118,155,84,67.25806451612900,0.711864406779661,5.316129032258070,0.5419354838709680,824
Organic Social,2024040723,117,139,63,40.597122302158300,0.5384615384615380,4.712230215827340,0.45323741007194200,655
Organic Social,2024041519,117,156,87,72.15384615384620,0.7435897435897440,5.608974358974360,0.5576923076923080,875
Organic Social,2024041714,117,129,80,54.372093023255800,0.6837606837606840,4.744186046511630,0.6201550387596900,612
Organic Social,2024042812,117,141,71,45.48936170212770,0.6068376068376070,4.851063829787230,0.5035460992907800,684
Organic Social,2024041708,116,145,69,25.47586206896550,0.5948275862068970,4.158620689655170,0.47586206896551700,603
Organic Social,2024041715,116,147,91,51.59183673469390,0.7844827586206900,5.707482993197280,0.6190476190476190,839
Organic Social,2024042215,116,152,78,52.51315789473680,0.6724137931034480,5.1118421052631600,0.5131578947368420,777
Organic Social,2024042522,116,154,78,42.61038961038960,0.6724137931034480,4.779220779220780,0.5064935064935060,736
Organic Social,2024042318,115,131,81,88.13740458015270,0.7043478260869570,5.877862595419850,0.6183206106870230,770
Organic Social,2024042520,115,144,78,48.00694444444440,0.6782608695652170,4.715277777777780,0.5416666666666670,679
Organic Social,2024042521,115,142,75,45.309859154929600,0.6521739130434780,4.436619718309860,0.528169014084507,630
Organic Social,2024041716,114,136,86,52.22794117647060,0.7543859649122810,4.742647058823530,0.6323529411764710,645
Organic Social,2024042611,114,141,82,87.73758865248230,0.7192982456140350,6.042553191489360,0.5815602836879430,852
Organic Social,2024042912,113,127,71,63.41732283464570,0.6283185840707960,5.669291338582680,0.5590551181102360,720
Organic Social,2024042914,113,143,84,47.21678321678320,0.7433628318584070,5.321678321678320,0.5874125874125870,761
Organic Social,2024041709,112,134,71,46.05223880597020,0.6339285714285710,4.791044776119400,0.5298507462686570,642
Organic Social,2024042516,112,169,74,29.390532544378700,0.6607142857142860,4.1420118343195300,0.4378698224852070,700
Organic Social,2024050122,112,140,74,44.49285714285710,0.6607142857142860,4.814285714285710,0.5285714285714290,674
Organic Social,2024042310,111,135,83,87,0.7477477477477480,4.970370370370370,0.6148148148148150,671
Organic Social,2024042811,111,172,84,31.575581395348800,0.7567567567567570,4.02906976744186,0.4883720930232560,693
Organic Social,2024041820,110,141,82,54.695035460992900,0.7454545454545460,5.163120567375890,0.5815602836879430,728
Organic Social,2024050121,110,130,79,43.26923076923080,0.7181818181818180,4.707692307692310,0.6076923076923080,612
Organic Social,2024050221,110,126,75,68.51587301587300,0.6818181818181820,5.5476190476190500,0.5952380952380950,699
Organic Social,2024050316,110,134,68,54.776119402985100,0.6181818181818180,5.007462686567160,0.5074626865671640,671
Organic Social,2024042900,109,154,69,29.454545454545500,0.6330275229357800,4.266233766233770,0.44805194805194800,657
Organic Social,2024043019,109,146,72,35.226027397260300,0.6605504587155960,3.9383561643835600,0.4931506849315070,575
Organic Social,2024050223,109,138,73,30.58695652173910,0.6697247706422020,4.195652173913040,0.5289855072463770,579
Organic Social,2024040700,108,152,79,17.585526315789500,0.7314814814814820,4.026315789473680,0.5197368421052630,612
Organic Social,2024041514,108,140,68,37.56428571428570,0.6296296296296300,4.178571428571430,0.4857142857142860,585
Organic Social,2024042918,108,121,80,99.9090909090909,0.7407407407407410,5.818181818181820,0.6611570247933880,704
Organic Social,2024043021,108,117,73,47.52991452991450,0.6759259259259260,5.051282051282050,0.6239316239316240,591
Organic Social,2024041518,107,143,71,79.4895104895105,0.6635514018691590,4.321678321678320,0.4965034965034970,618
Organic Social,2024041713,107,125,69,43.472,0.6448598130841120,4.408,0.552,551
Organic Social,2024042316,107,134,81,70.91044776119400,0.7570093457943930,5.873134328358210,0.6044776119402990,787
Organic Social,2024041210,106,130,78,60.88461538461540,0.7358490566037740,5.046153846153850,0.6,656
Organic Social,2024041500,106,163,56,34.79754601226990,0.5283018867924530,4.006134969325150,0.34355828220858900,653
Organic Social,2024042414,106,121,87,89.12396694214880,0.8207547169811320,5.884297520661160,0.71900826446281,712
Organic Social,2024041209,105,124,72,29,0.6857142857142860,4.5,0.5806451612903230,558
Organic Social,2024041511,105,123,78,52.9349593495935,0.7428571428571430,5.7073170731707300,0.6341463414634150,702
Organic Social,2024041818,105,138,77,78.06521739130430,0.7333333333333330,4.833333333333330,0.5579710144927540,667
Organic Social,2024042217,105,134,77,73.91791044776120,0.7333333333333330,5.641791044776120,0.5746268656716420,756
Organic Social,2024042311,105,123,82,65.82113821138210,0.780952380952381,5.2439024390243900,0.6666666666666670,645
Organic Social,2024050320,105,132,73,50.54545454545460,0.6952380952380950,5.136363636363640,0.553030303030303,678
Organic Social,2024043020,104,132,78,46.583333333333300,0.75,5.416666666666670,0.5909090909090910,715
Organic Social,2024050310,104,116,77,70.80172413793100,0.7403846153846150,5.956896551724140,0.6637931034482760,691
Organic Social,2024050317,104,126,69,57.404761904761900,0.6634615384615380,4.261904761904760,0.5476190476190480,537
Direct,2024041722,103,132,65,34.46212121212120,0.6310679611650490,3.977272727272730,0.49242424242424200,525
Organic Social,2024041900,103,183,62,29.81967213114750,0.6019417475728160,3.2240437158469900,0.33879781420765000,590
Organic Social,2024041915,103,116,69,60.827586206896600,0.6699029126213590,4.810344827586210,0.5948275862068970,558
Organic Social,2024042416,103,130,69,60.223076923076900,0.6699029126213590,5.384615384615390,0.5307692307692310,700
Organic Social,2024042800,103,171,53,18.596491228070200,0.5145631067961170,3.3157894736842100,0.30994152046783600,567
Direct,2024040923,102,118,48,36.5,0.47058823529411800,4.559322033898310,0.4067796610169490,538
Direct,2024042323,102,129,58,37.35658914728680,0.5686274509803920,4.077519379844960,0.4496124031007750,526
Organic Social,2024040814,102,126,73,99.47619047619050,0.7156862745098040,5.26984126984127,0.5793650793650790,664
Organic Social,2024042500,102,156,54,18.814102564102600,0.5294117647058820,3.801282051282050,0.34615384615384600,593
Organic Social,2024043000,102,166,63,20.042168674698800,0.6176470588235290,3.8855421686747000,0.3795180722891570,645
Organic Social,2024050118,102,136,75,39.23529411764710,0.7352941176470590,4.676470588235290,0.5514705882352940,636
Organic Social,2024050311,102,125,74,37.6,0.7254901960784310,4.608,0.592,576
Organic Social,2024041521,101,125,59,68.224,0.5841584158415840,5.12,0.472,640
Organic Social,2024042218,101,117,72,68.64102564102560,0.7128712871287130,5.222222222222220,0.6153846153846150,611
Organic Social,2024042514,101,125,72,38.512,0.7128712871287130,4.656,0.576,582
Organic Social,2024042615,101,128,71,65.984375,0.7029702970297030,5.296875,0.5546875,678
Organic Social,2024040815,100,125,70,58.944,0.7,4.896,0.56,612
Organic Social,2024041819,100,124,78,39.16129032258070,0.78,4.185483870967740,0.6290322580645160,519
Organic Social,2024042214,100,122,71,89.30327868852460,0.71,5.286885245901640,0.5819672131147540,645
Organic Social,2024042413,100,124,78,57.82258064516130,0.78,4.629032258064520,0.6290322580645160,574
Organic Social,2024042519,100,135,60,27.31111111111110,0.6,4.2518518518518500,0.4444444444444440,574
Organic Social,2024042821,100,118,70,55.96610169491530,0.7,6.161016949152540,0.5932203389830510,727
Organic Social,2024043014,100,113,70,56.35398230088500,0.7,5.097345132743360,0.6194690265486730,576
Organic Social,2024050214,100,114,76,50.780701754386000,0.76,4.815789473684210,0.6666666666666670,549
Organic Social,2024040722,99,116,60,28.129310344827600,0.6060606060606060,5.051724137931040,0.5172413793103450,586
Organic Social,2024041212,99,117,67,107.42735042735000,0.6767676767676770,5.0085470085470100,0.5726495726495730,586
Organic Social,2024041710,99,125,69,27.4,0.696969696969697,4.248,0.552,531
Organic Social,2024042312,99,122,66,69.27049180327870,0.6666666666666670,5.5,0.5409836065573770,671
Organic Social,2024042314,99,114,73,72.97368421052630,0.7373737373737370,6.035087719298250,0.6403508771929820,688
Organic Social,2024050123,99,127,73,31.291338582677200,0.7373737373737370,5.322834645669290,0.5748031496062990,676
Organic Social,2024040619,98,134,63,77.57462686567170,0.6428571428571430,4.388059701492540,0.4701492537313430,588
Organic Social,2024041320,98,108,69,77.42592592592590,0.7040816326530610,5.287037037037040,0.6388888888888890,571
Organic Social,2024041520,98,125,63,42.352,0.6428571428571430,4.2,0.504,525
Organic Social,2024042612,98,112,74,93.01785714285710,0.7551020408163270,5.669642857142860,0.6607142857142860,635
Organic Social,2024042823,98,121,69,73.28099173553720,0.7040816326530610,6.68595041322314,0.5702479338842980,809
Direct,2024041119,97,103,48,28.019417475728200,0.4948453608247420,4.339805825242720,0.46601941747572800,447
Direct,2024042123,97,114,52,52.74561403508770,0.5360824742268040,5.228070175438600,0.45614035087719300,596
Organic Social,2024041421,97,106,66,43.9811320754717,0.6804123711340210,5.113207547169810,0.6226415094339620,542
Organic Social,2024042315,97,115,71,70.36521739130430,0.7319587628865980,6.034782608695650,0.6173913043478260,694
Organic Social,2024042415,97,125,70,43.168,0.7216494845360830,4.288,0.56,536
Organic Social,2024042916,97,127,73,67.44881889763780,0.7525773195876290,5,0.5748031496062990,635
Organic Social,2024050315,97,122,71,37.295081967213100,0.7319587628865980,4.827868852459020,0.5819672131147540,589
Organic Social,2024041115,96,132,68,42.416666666666700,0.7083333333333330,4.537878787878790,0.5151515151515150,599
Organic Social,2024041512,96,103,57,41.10679611650490,0.59375,4.747572815533980,0.5533980582524270,489
Organic Social,2024041620,96,115,67,68.30434782608700,0.6979166666666670,5.434782608695650,0.5826086956521740,625
Organic Social,2024042319,96,123,62,57.422764227642300,0.6458333333333330,5.5528455284552800,0.5040650406504070,683
Organic Social,2024042418,96,125,70,50.744,0.7291666666666670,5.048,0.56,631
Organic Social,2024042822,96,112,66,64.77678571428570,0.6875,7.482142857142860,0.5892857142857140,838
Organic Social,2024043022,96,115,65,59.03478260869570,0.6770833333333330,5.530434782608700,0.5652173913043480,636
Organic Social,2024050110,96,110,58,60.28181818181820,0.6041666666666670,5.218181818181820,0.5272727272727270,574
Organic Social,2024041120,95,112,62,32.0625,0.6526315789473690,4.133928571428570,0.5535714285714290,463
Organic Social,2024041423,95,113,61,45.67256637168140,0.6421052631578950,5.31858407079646,0.5398230088495580,601
Organic Social,2024041813,95,106,79,63.735849056603800,0.8315789473684210,5.811320754716980,0.7452830188679250,616
Organic Social,2024042216,95,111,61,56.04504504504500,0.6421052631578950,5.72972972972973,0.5495495495495500,636
Organic Social,2024042219,95,121,69,71.18181818181820,0.7263157894736840,5.347107438016530,0.5702479338842980,647
Organic Social,2024042313,95,114,68,105.85964912280700,0.7157894736842110,5.421052631578950,0.5964912280701750,618
Organic Social,2024042911,95,116,66,46.60344827586210,0.6947368421052630,4.396551724137930,0.5689655172413790,510
Organic Social,2024050100,95,151,51,41.741721854304600,0.5368421052631580,4.364238410596030,0.33774834437086100,659
Organic Social,2024050220,95,111,75,50.95495495495500,0.7894736842105260,5.153153153153150,0.6756756756756760,572
Organic Social,2024050312,95,123,67,55.203252032520300,0.7052631578947370,4.943089430894310,0.5447154471544720,608
Organic Social,2024040819,94,114,64,51.21052631578950,0.6808510638297870,4.271929824561400,0.5614035087719300,487
Organic Social,2024041016,94,126,58,44.642857142857100,0.6170212765957450,3.888888888888890,0.4603174603174600,490
Organic Social,2024041419,94,105,74,66.29523809523810,0.7872340425531920,6.333333333333330,0.7047619047619050,665
Organic Social,2024042915,94,120,70,57.2,0.7446808510638300,5.15,0.5833333333333330,618
Direct,2024041223,93,117,46,47.15384615384620,0.4946236559139790,4.547008547008550,0.39316239316239300,532
Organic Social,2024041816,93,127,73,64.18110236220470,0.7849462365591400,5.968503937007870,0.5748031496062990,758
Organic Social,2024041917,93,128,52,30.3203125,0.5591397849462370,3.890625,0.40625,498
Organic Social,2024042419,93,113,70,82.49557522123890,0.7526881720430110,4.964601769911500,0.6194690265486730,561
Organic Social,2024042614,93,115,74,93.03478260869570,0.7956989247311830,5.930434782608700,0.6434782608695650,682
Organic Social,2024042717,93,117,58,43.23076923076920,0.6236559139784950,4.170940170940170,0.49572649572649600,488
Organic Social,2024042917,93,114,68,201.58771929824600,0.7311827956989250,4.684210526315790,0.5964912280701750,534
Organic Social,2024050319,93,117,61,48.82051282051280,0.6559139784946240,4.641025641025640,0.5213675213675210,543
Organic Search,2024042212,92,102,65,60.294117647058800,0.7065217391304350,4.509803921568630,0.6372549019607840,460
Organic Social,2024041015,92,120,68,52.90833333333330,0.7391304347826090,5.233333333333330,0.5666666666666670,628
Organic Social,2024041116,92,129,64,42.751937984496100,0.6956521739130440,5.10077519379845,0.49612403100775200,658
Organic Social,2024041418,92,108,64,41.77777777777780,0.6956521739130440,4.851851851851850,0.5925925925925930,524
Organic Social,2024041817,92,127,67,92.75590551181100,0.7282608695652170,6.047244094488190,0.5275590551181100,768
Organic Social,2024041821,92,115,57,42.504347826087000,0.6195652173913040,4.452173913043480,0.4956521739130440,512
Organic Social,2024041920,92,122,64,58.295081967213100,0.6956521739130440,4.352459016393440,0.5245901639344260,531
Organic Social,2024042019,92,104,61,64.125,0.6630434782608700,5.711538461538460,0.5865384615384620,594
Organic Social,2024042515,92,112,67,52.107142857142900,0.7282608695652170,4.991071428571430,0.5982142857142860,559
Organic Social,2024042618,92,114,60,100.34210526315800,0.6521739130434780,4.201754385964910,0.5263157894736840,479
Direct,2024041123,91,106,55,39.094339622641500,0.6043956043956040,4.216981132075470,0.5188679245283020,447
Direct,2024041720,91,113,53,53.584070796460200,0.5824175824175830,4.469026548672570,0.4690265486725660,505
Organic Social,2024040818,91,115,58,51.417391304347800,0.6373626373626370,5.069565217391300,0.5043478260869570,583
Organic Social,2024041600,91,148,53,21.95945945945950,0.5824175824175830,4.081081081081080,0.3581081081081080,604
Organic Social,2024042913,91,108,64,58.351851851851900,0.7032967032967030,4.861111111111110,0.5925925925925930,525
Organic Social,2024043017,91,109,57,64.03669724770640,0.6263736263736260,4.660550458715600,0.5229357798165140,508
Organic Social,2024050111,91,106,62,51.405660377358500,0.6813186813186810,5.415094339622640,0.5849056603773590,574
Organic Social,2024040820,90,116,56,46.87068965517240,0.6222222222222220,4.724137931034480,0.4827586206896550,548
Organic Social,2024040915,90,126,57,49.98412698412700,0.6333333333333330,4.738095238095240,0.4523809523809520,597
Organic Social,2024041100,90,145,53,35.46206896551720,0.5888888888888890,4.0344827586206900,0.36551724137931000,585
Organic Social,2024041815,90,102,65,81.07843137254900,0.7222222222222220,6.480392156862750,0.6372549019607840,661
Organic Social,2024042321,90,107,66,41.54205607476640,0.7333333333333330,4.981308411214950,0.616822429906542,533
Organic Social,2024042613,90,102,61,68.86274509803920,0.6777777777777780,4.647058823529410,0.5980392156862750,474
Organic Social,2024043023,90,114,54,63.80701754385970,0.6,5.5,0.47368421052631600,627
Organic Social,2024040719,89,116,68,41.62068965517240,0.7640449438202250,5.051724137931040,0.5862068965517240,586
Organic Social,2024040720,89,115,65,69.19130434782610,0.7303370786516850,5.252173913043480,0.5652173913043480,604
Organic Social,2024041214,89,106,68,61.18867924528300,0.7640449438202250,4.669811320754720,0.6415094339622640,495
Organic Social,2024041317,89,116,56,51.44827586206900,0.6292134831460670,4.439655172413790,0.4827586206896550,515
Organic Social,2024041611,89,106,67,51.4811320754717,0.7528089887640450,5.5,0.6320754716981130,583
Organic Social,2024041811,89,104,62,71.17307692307690,0.6966292134831460,5.461538461538460,0.5961538461538460,568
Organic Social,2024043011,89,108,67,51.851851851851900,0.7528089887640450,5.231481481481480,0.6203703703703700,565
Organic Social,2024041918,88,114,50,55.09649122807020,0.5681818181818180,4.508771929824560,0.43859649122807000,514
Organic Social,2024042417,88,116,62,49.689655172413800,0.7045454545454550,4.7844827586206900,0.5344827586206900,555
Organic Social,2024042523,88,112,64,61.205357142857100,0.7272727272727270,4.705357142857140,0.5714285714285710,527
Organic Social,2024042623,88,118,58,51.11864406779660,0.6590909090909090,4.483050847457630,0.4915254237288140,529
Organic Social,2024043010,88,100,66,83.41,0.75,6.32,0.66,632
Organic Social,2024043012,88,104,65,57,0.7386363636363640,5.173076923076920,0.625,538
Organic Social,2024050200,88,129,49,19.790697674418600,0.5568181818181820,4.372093023255810,0.3798449612403100,564
Organic Social,2024050210,88,100,63,78.34,0.7159090909090910,5.71,0.63,571
Organic Search,2024041819,87,99,59,35.26262626262630,0.6781609195402300,3.6363636363636400,0.5959595959595960,360
Organic Search,2024041821,87,107,53,43.63551401869160,0.6091954022988510,3.439252336448600,0.4953271028037380,368
Organic Social,2024040718,87,110,50,22.90909090909090,0.5747126436781610,4.081818181818180,0.45454545454545500,449
Organic Social,2024040811,87,104,69,89.27884615384620,0.7931034482758620,5.394230769230770,0.6634615384615380,561
Organic Social,2024042210,87,105,68,74.29523809523810,0.7816091954022990,5.019047619047620,0.6476190476190480,527
Organic Social,2024042421,87,101,54,50.554455445544600,0.6206896551724140,4.9504950495049500,0.5346534653465350,500
Organic Social,2024042820,87,107,57,43.97196261682240,0.6551724137931030,5.252336448598130,0.5327102803738320,562
Organic Social,2024050115,87,110,59,48.69090909090910,0.6781609195402300,4.281818181818180,0.5363636363636360,471
Organic Social,2024050309,87,104,65,64.36538461538460,0.7471264367816090,5.759615384615390,0.625,599
Direct,2024041716,86,95,49,49.55789473684210,0.5697674418604650,4.347368421052630,0.5157894736842110,413
Direct,2024041821,86,95,55,42.48421052631580,0.6395348837209300,4.621052631578950,0.5789473684210530,439
Direct,2024042518,86,102,56,40.81372549019610,0.6511627906976750,4.529411764705880,0.5490196078431370,462
Organic Social,2024040721,86,95,58,53.96842105263160,0.6744186046511630,4.589473684210530,0.6105263157894740,436
Organic Social,2024041523,86,110,62,40.31818181818180,0.7209302325581400,3.918181818181820,0.5636363636363640,431
Organic Social,2024041616,86,112,61,50.357142857142900,0.7093023255813950,4.892857142857140,0.5446428571428570,548
Organic Social,2024041923,86,101,52,59.475247524752500,0.6046511627906980,5.683168316831680,0.5148514851485150,574
Organic Social,2024042513,86,105,62,41.266666666666700,0.7209302325581400,4.923809523809520,0.5904761904761910,517
Organic Social,2024040810,85,104,66,100.29807692307700,0.7764705882352940,5.490384615384620,0.6346153846153850,571
Organic Social,2024040813,85,116,64,57.43103448275860,0.7529411764705880,4.887931034482760,0.5517241379310350,567
Organic Social,2024041117,85,103,60,35.14563106796120,0.7058823529411770,4.553398058252430,0.5825242718446600,469
Organic Social,2024041522,85,103,59,49.640776699029100,0.6941176470588240,5.019417475728160,0.5728155339805830,517
Organic Social,2024041618,85,102,58,60.794117647058800,0.6823529411764710,5.7254901960784300,0.5686274509803920,584
Organic Social,2024041919,85,116,53,38.422413793103400,0.6235294117647060,4.155172413793100,0.45689655172413800,482
Organic Social,2024042212,85,95,65,69.58947368421050,0.7647058823529410,5.11578947368421,0.6842105263157900,486
Organic Social,2024042412,85,102,65,80.17647058823530,0.7647058823529410,4.950980392156860,0.6372549019607840,505
Organic Social,2024042921,85,102,70,101.6078431372550,0.8235294117647060,7.098039215686270,0.6862745098039220,724
Organic Social,2024050113,85,106,55,55.320754716981100,0.6470588235294120,4.39622641509434,0.5188679245283020,466
Organic Social,2024050301,85,108,67,40.73148148148150,0.788235294117647,5.398148148148150,0.6203703703703700,583
Referral,2024050211,85,95,71,207.56842105263200,0.8352941176470590,7.231578947368420,0.7473684210526320,687
Direct,2024041721,84,96,52,44.333333333333300,0.6190476190476190,4.552083333333330,0.5416666666666670,437
Direct,2024041818,84,98,44,33.63265306122450,0.5238095238095240,4.142857142857140,0.4489795918367350,406
Direct,2024041819,84,90,56,38.977777777777800,0.6666666666666670,6.155555555555560,0.6222222222222220,554
Organic Search,2024041515,84,96,49,47.333333333333300,0.5833333333333330,4.333333333333330,0.5104166666666670,416
Organic Search,2024041722,84,97,56,29.2680412371134,0.6666666666666670,3.5670103092783500,0.5773195876288660,346
Organic Social,2024040611,84,111,62,50.765765765765800,0.7380952380952380,4.756756756756760,0.5585585585585590,528
Organic Social,2024040711,84,103,63,49.33009708737860,0.75,5.70873786407767,0.6116504854368930,588
Organic Social,2024040712,84,101,62,46.28712871287130,0.7380952380952380,5.514851485148510,0.6138613861386140,557
Organic Social,2024041011,84,102,59,53.009803921568600,0.7023809523809520,5.1568627450980400,0.5784313725490200,526
Organic Social,2024041420,84,94,56,79.93617021276600,0.6666666666666670,6.308510638297870,0.5957446808510640,593
Organic Social,2024041610,84,104,58,62.05769230769230,0.6904761904761910,4.990384615384620,0.5576923076923080,519
Organic Social,2024042110,84,124,49,17.45967741935480,0.5833333333333330,3.8225806451612900,0.3951612903225810,474
Organic Social,2024042200,84,130,64,41.9,0.7619047619047620,5.269230769230770,0.49230769230769200,685
Referral,2024050311,84,95,73,152.93684210526300,0.8690476190476190,7.91578947368421,0.7684210526315790,752
Direct,2024041712,83,90,51,37.077777777777800,0.6144578313253010,4.266666666666670,0.5666666666666670,384
Direct,2024041714,83,90,52,55.01111111111110,0.6265060240963860,4.344444444444440,0.5777777777777780,391
Organic Search,2024042315,83,92,57,59.77173913043480,0.6867469879518070,4.010869565217390,0.6195652173913040,369
Organic Social,2024040621,83,110,50,28.672727272727300,0.6024096385542170,4.1454545454545500,0.45454545454545500,456
Organic Social,2024041217,83,100,57,64.61,0.6867469879518070,4.72,0.57,472
Organic Social,2024041415,83,101,58,47.663366336633700,0.6987951807228920,4.762376237623760,0.5742574257425740,481
Organic Social,2024041422,83,101,52,55.960396039604000,0.6265060240963860,5.267326732673270,0.5148514851485150,532
Organic Social,2024041911,83,104,57,47.28846153846150,0.6867469879518070,4.730769230769230,0.5480769230769230,492
Organic Social,2024042700,83,125,57,31.576,0.6867469879518070,3.728,0.456,466
Organic Social,2024042720,83,102,55,41.088235294117600,0.6626506024096390,4.03921568627451,0.5392156862745100,412
Organic Social,2024050212,83,98,63,57.265306122449000,0.7590361445783130,5.061224489795920,0.6428571428571430,496
Direct,2024041513,82,99,46,28.727272727272700,0.5609756097560980,4.666666666666670,0.46464646464646500,462
Direct,2024042517,82,86,54,32.98837209302330,0.6585365853658540,4,0.627906976744186,344
Organic Search,2024041815,82,95,58,41.589473684210500,0.7073170731707320,4.094736842105260,0.6105263157894740,389
Organic Search,2024041822,82,85,53,69.65882352941180,0.6463414634146340,4.235294117647060,0.6235294117647060,360
Organic Search,2024041911,82,95,59,48.83157894736840,0.7195121951219510,3.9894736842105300,0.6210526315789470,379
Organic Social,2024040916,82,108,52,52.101851851851900,0.6341463414634150,10.342592592592600,0.48148148148148100,1117
Organic Social,2024041114,82,103,59,50.20388349514560,0.7195121951219510,4.524271844660190,0.5728155339805830,466
Organic Social,2024041319,82,106,64,60.679245283018900,0.7804878048780490,6.19811320754717,0.6037735849056600,657
Organic Social,2024041615,82,110,54,61.5,0.6585365853658540,4.427272727272730,0.4909090909090910,487
Organic Social,2024041921,82,110,52,53.054545454545500,0.6341463414634150,4.827272727272730,0.4727272727272730,531
Organic Social,2024042021,82,98,56,60.66326530612250,0.6829268292682930,5.316326530612250,0.5714285714285710,521
